textbox28,textbox76,textbox78,textbox24,district_count,sl_no1,textbox20,textbox26,textbox23,textbox38,textbox29,textbox21,textbox33,textbox8,textbox58,textbox9,textbox10,textbox12,textbox13
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,2196,1334,3530,1,0,1,2196,1334,3530,1,0,1
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,2196,1334,3530,1,0,1,2196,1334,3530,1,0,1
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,2196,1334,3530,1,0,1,2196,1334,3530,1,0,1
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,2196,1334,3530,1,0,1,2196,1334,3530,1,0,1
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,2196,1334,3530,1,0,1,2196,1334,3530,1,0,1
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,2196,1334,3530,1,0,1,2196,1334,3530,1,0,1
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,2196,1334,3530,1,0,1,2196,1334,3530,1,0,1
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,2196,1334,3530,1,0,1,2196,1334,3530,1,0,1
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,2196,1334,3530,1,0,1,2196,1334,3530,1,0,1
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,2196,1334,3530,1,0,1,2196,1334,3530,1,0,1
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,2196,1334,3530,1,0,1,2196,1334,3530,1,0,1
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,2196,1334,3530,1,0,1,2196,1334,3530,1,0,1
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,182,167,349,0,1,1,182,167,349,0,1,1
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,182,167,349,0,1,1,182,167,349,0,1,1
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,182,167,349,0,1,1,182,167,349,0,1,1
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,182,167,349,0,1,1,182,167,349,0,1,1
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,182,167,349,0,1,1,182,167,349,0,1,1
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,182,167,349,0,1,1,182,167,349,0,1,1
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,182,167,349,0,1,1,182,167,349,0,1,1
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,182,167,349,0,1,1,182,167,349,0,1,1
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,182,167,349,0,1,1,182,167,349,0,1,1
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,182,167,349,0,1,1,182,167,349,0,1,1
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,182,167,349,0,1,1,182,167,349,0,1,1
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,182,167,349,0,1,1,182,167,349,0,1,1
29/04/2021,"Disease Name--Cancer-Oral Cancer (Lip, Oral Cavity and Pharynx) ",State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,34,33,67,0,0,0,34,33,67,0,0,0
29/04/2021,"Disease Name--Cancer-Oral Cancer (Lip, Oral Cavity and Pharynx) ",State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,34,33,67,0,0,0,34,33,67,0,0,0
29/04/2021,"Disease Name--Cancer-Oral Cancer (Lip, Oral Cavity and Pharynx) ",State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,34,33,67,0,0,0,34,33,67,0,0,0
29/04/2021,"Disease Name--Cancer-Oral Cancer (Lip, Oral Cavity and Pharynx) ",State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,34,33,67,0,0,0,34,33,67,0,0,0
29/04/2021,Disease Name--Cancer-Other  Cancers(excluding 7.1 to 7.4),State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,144,225,369,0,1,1,144,225,369,0,1,1
29/04/2021,Disease Name--Cancer-Other  Cancers(excluding 7.1 to 7.4),State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,144,225,369,0,1,1,144,225,369,0,1,1
29/04/2021,Disease Name--Cancer-Other  Cancers(excluding 7.1 to 7.4),State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,144,225,369,0,1,1,144,225,369,0,1,1
29/04/2021,Disease Name--Cancer-Other  Cancers(excluding 7.1 to 7.4),State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,144,225,369,0,1,1,144,225,369,0,1,1
29/04/2021,Disease Name--Cancer-Other  Cancers(excluding 7.1 to 7.4),State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,144,225,369,0,1,1,144,225,369,0,1,1
29/04/2021,Disease Name--Cancer-Other  Cancers(excluding 7.1 to 7.4),State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,144,225,369,0,1,1,144,225,369,0,1,1
29/04/2021,Disease Name--Cardio Vascular Diseases- Hypertension,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,18791,16442,35233,0,1,1,18791,16442,35233,0,1,1
29/04/2021,Disease Name--Cardio Vascular Diseases- Hypertension,State Name--RAJASTHAN,From Month & Year--  January - 2018  UPTO  December - 2018,33,,Hanumangarh,18791,16442,35233,0,1,1,18791,16442,35233,0,1,1
