textbox28,textbox76,textbox78,textbox24,district_count,sl_no1,textbox20,textbox26,textbox23,textbox38,textbox29,textbox21,textbox33,textbox8,textbox58,textbox9,textbox10,textbox12,textbox13
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2949,1711,4660,8,0,8,2949,1711,4660,8,0,8
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2949,1711,4660,8,0,8,2949,1711,4660,8,0,8
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2949,1711,4660,8,0,8,2949,1711,4660,8,0,8
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2949,1711,4660,8,0,8,2949,1711,4660,8,0,8
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2949,1711,4660,8,0,8,2949,1711,4660,8,0,8
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2949,1711,4660,8,0,8,2949,1711,4660,8,0,8
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2949,1711,4660,8,0,8,2949,1711,4660,8,0,8
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2949,1711,4660,8,0,8,2949,1711,4660,8,0,8
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2949,1711,4660,8,0,8,2949,1711,4660,8,0,8
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2949,1711,4660,8,0,8,2949,1711,4660,8,0,8
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2949,1711,4660,8,0,8,2949,1711,4660,8,0,8
29/04/2021,Disease Name--Accidental Injuries-Accidental Injuries,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2949,1711,4660,8,0,8,2949,1711,4660,8,0,8
29/04/2021,Disease Name--Cancer-Cervix Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2,44,46,0,0,0,2,44,46,0,0,0
29/04/2021,Disease Name--Cancer-Cervix Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2,44,46,0,0,0,2,44,46,0,0,0
29/04/2021,Disease Name--Cancer-Cervix Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2,44,46,0,0,0,2,44,46,0,0,0
29/04/2021,Disease Name--Cancer-Cervix Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2,44,46,0,0,0,2,44,46,0,0,0
29/04/2021,Disease Name--Cancer-Cervix Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2,44,46,0,0,0,2,44,46,0,0,0
29/04/2021,Disease Name--Cancer-Cervix Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2,44,46,0,0,0,2,44,46,0,0,0
29/04/2021,Disease Name--Cancer-Cervix Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2,44,46,0,0,0,2,44,46,0,0,0
29/04/2021,Disease Name--Cancer-Cervix Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2,44,46,0,0,0,2,44,46,0,0,0
29/04/2021,Disease Name--Cancer-Cervix Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2,44,46,0,0,0,2,44,46,0,0,0
29/04/2021,Disease Name--Cancer-Cervix Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2,44,46,0,0,0,2,44,46,0,0,0
29/04/2021,Disease Name--Cancer-Cervix Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2,44,46,0,0,0,2,44,46,0,0,0
29/04/2021,Disease Name--Cancer-Cervix Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,2,44,46,0,0,0,2,44,46,0,0,0
29/04/2021,Disease Name--Cancer-Breast Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,0,18,18,0,0,0,0,18,18,0,0,0
29/04/2021,Disease Name--Cancer-Breast Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,0,18,18,0,0,0,0,18,18,0,0,0
29/04/2021,Disease Name--Cancer-Breast Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,0,18,18,0,0,0,0,18,18,0,0,0
29/04/2021,Disease Name--Cancer-Breast Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,0,18,18,0,0,0,0,18,18,0,0,0
29/04/2021,Disease Name--Cancer-Breast Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,0,18,18,0,0,0,0,18,18,0,0,0
29/04/2021,Disease Name--Cancer-Breast Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,0,18,18,0,0,0,0,18,18,0,0,0
29/04/2021,Disease Name--Cancer-Breast Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,0,18,18,0,0,0,0,18,18,0,0,0
29/04/2021,Disease Name--Cancer-Breast Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,0,18,18,0,0,0,0,18,18,0,0,0
29/04/2021,Disease Name--Cancer-Breast Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,0,18,18,0,0,0,0,18,18,0,0,0
29/04/2021,Disease Name--Cancer-Breast Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,0,18,18,0,0,0,0,18,18,0,0,0
29/04/2021,Disease Name--Cancer-Breast Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,0,18,18,0,0,0,0,18,18,0,0,0
29/04/2021,Disease Name--Cancer-Breast Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,0,18,18,0,0,0,0,18,18,0,0,0
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,26,13,39,1,1,2,26,13,39,1,1,2
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,26,13,39,1,1,2,26,13,39,1,1,2
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,26,13,39,1,1,2,26,13,39,1,1,2
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,26,13,39,1,1,2,26,13,39,1,1,2
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,26,13,39,1,1,2,26,13,39,1,1,2
29/04/2021,Disease Name--Cancer-Lung Cancer ,State Name--RAJASTHAN,From Month & Year--  January - 2019  UPTO  December - 2019,33,,Karauli,26,13,39,1,1,2,26,13,39,1,1,2
