textbox13,disease_name,textbox43,textbox11,textbox18,district_count,sl_no1,textbox38,textbox5,textbox33,textbox55,textbox36,col06,textbox71,textbox29,textbox37,textbox45,textbox30,textbox34,textbox56
29/04/2021,Acute Diarrhoeal diseases  (Including Gastro Enteritis Etc),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,15508,15653,31161,0,0,0,15508,15653,31161,0,0,0
29/04/2021,Acute Diarrhoeal diseases  (Including Gastro Enteritis Etc),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,15508,15653,31161,0,0,0,15508,15653,31161,0,0,0
29/04/2021,Acute Diarrhoeal diseases  (Including Gastro Enteritis Etc),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,15508,15653,31161,0,0,0,15508,15653,31161,0,0,0
29/04/2021,Acute Diarrhoeal diseases  (Including Gastro Enteritis Etc),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,15508,15653,31161,0,0,0,15508,15653,31161,0,0,0
29/04/2021,Acute Diarrhoeal diseases  (Including Gastro Enteritis Etc),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,15508,15653,31161,0,0,0,15508,15653,31161,0,0,0
29/04/2021,Acute Diarrhoeal diseases  (Including Gastro Enteritis Etc),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,15508,15653,31161,0,0,0,15508,15653,31161,0,0,0
29/04/2021,Acute Diarrhoeal diseases  (Including Gastro Enteritis Etc),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,15508,15653,31161,0,0,0,15508,15653,31161,0,0,0
29/04/2021,Acute Diarrhoeal diseases  (Including Gastro Enteritis Etc),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,15508,15653,31161,0,0,0,15508,15653,31161,0,0,0
29/04/2021,Acute Diarrhoeal diseases  (Including Gastro Enteritis Etc),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,15508,15653,31161,0,0,0,15508,15653,31161,0,0,0
29/04/2021,Acute Diarrhoeal diseases  (Including Gastro Enteritis Etc),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,15508,15653,31161,0,0,0,15508,15653,31161,0,0,0
29/04/2021,Acute Diarrhoeal diseases  (Including Gastro Enteritis Etc),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,15508,15653,31161,0,0,0,15508,15653,31161,0,0,0
29/04/2021,Acute Diarrhoeal diseases  (Including Gastro Enteritis Etc),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,15508,15653,31161,0,0,0,15508,15653,31161,0,0,0
29/04/2021,Acute Respiratory Infection (Including Influenza and excluding Pneumonia),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,35542,32342,67884,0,0,0,35542,32342,67884,0,0,0
29/04/2021,Acute Respiratory Infection (Including Influenza and excluding Pneumonia),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,35542,32342,67884,0,0,0,35542,32342,67884,0,0,0
29/04/2021,Acute Respiratory Infection (Including Influenza and excluding Pneumonia),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,35542,32342,67884,0,0,0,35542,32342,67884,0,0,0
29/04/2021,Acute Respiratory Infection (Including Influenza and excluding Pneumonia),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,35542,32342,67884,0,0,0,35542,32342,67884,0,0,0
29/04/2021,Acute Respiratory Infection (Including Influenza and excluding Pneumonia),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,35542,32342,67884,0,0,0,35542,32342,67884,0,0,0
29/04/2021,Acute Respiratory Infection (Including Influenza and excluding Pneumonia),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,35542,32342,67884,0,0,0,35542,32342,67884,0,0,0
29/04/2021,Acute Respiratory Infection (Including Influenza and excluding Pneumonia),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,35542,32342,67884,0,0,0,35542,32342,67884,0,0,0
29/04/2021,Acute Respiratory Infection (Including Influenza and excluding Pneumonia),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,35542,32342,67884,0,0,0,35542,32342,67884,0,0,0
29/04/2021,Acute Respiratory Infection (Including Influenza and excluding Pneumonia),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,35542,32342,67884,0,0,0,35542,32342,67884,0,0,0
29/04/2021,Acute Respiratory Infection (Including Influenza and excluding Pneumonia),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,35542,32342,67884,0,0,0,35542,32342,67884,0,0,0
29/04/2021,Acute Respiratory Infection (Including Influenza and excluding Pneumonia),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,35542,32342,67884,0,0,0,35542,32342,67884,0,0,0
29/04/2021,Acute Respiratory Infection (Including Influenza and excluding Pneumonia),RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,35542,32342,67884,0,0,0,35542,32342,67884,0,0,0
29/04/2021,Chicken Pox,RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,9,5,14,0,0,0,9,5,14,0,0,0
29/04/2021,Chicken Pox,RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,9,5,14,0,0,0,9,5,14,0,0,0
29/04/2021,Chicken Pox,RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,9,5,14,0,0,0,9,5,14,0,0,0
29/04/2021,Chicken Pox,RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,9,5,14,0,0,0,9,5,14,0,0,0
29/04/2021,Chicken Pox,RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,9,5,14,0,0,0,9,5,14,0,0,0
29/04/2021,Chicken Pox,RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,9,5,14,0,0,0,9,5,14,0,0,0
29/04/2021,Chicken Pox,RAJASTHAN,From Month & Year  January - 2016,December - 2016,33,,Pratap Grah,9,5,14,0,0,0,9,5,14,0,0,0
